instagram_comments,offensive_language
"Por que, queridinha? 🤡🤡🤡🤡",0
Parabéns Carla!!!,0
Vc merece a faixa de presidente do Brasil! Mas a medalha já é um bom começo. Parabéns!,0
Lindo!,0
"Bolsonaro, deveria abrir muitas escolas militares.Com certeza, as crianças seriam mais disciplinadas.",0
Sempre correto em suas observações,0
Onde anda o luladrão que depois da saída sumiu o molusco pra ver essa notícia aquele fdp,1
Esses aí são cachorro morto que ainda morde...precisamos ter td cuidado com o que vem do capiroto,1
Patética 💩💩💩💩💩💩💩💩💩💩,1
Ta caduco ja essa múmia. Ja passou do tempo de se aposentar,1
Ta Tá de mais essa situação nesse país com esses milicianos,0
Esse sim É excelente p uma entrevista 🙏👏👏👏🇧🇷🇧🇷🇧🇷+,0
#ForaFascistas,1
São esses bandidos,1
Benedita como sempre!!!!! Arrebentando!!!!👏👏👏👏,0
"Ai, meu Deus!",0
Ainda ter retardado que da audiencia a um jornal lixo desses.,1
Gângster cafona raça ruim essa figura patética,1
🙀 Q nojooooo,1
Joice mente tão bem que até mesmo ela acredita na própria mentira. Triste fim. Triste 😔,1
"Cada dia pego mais nojo dessa Joyce, vai trabalhar ao invés de ficar tentando denegrir a imagem do presidente",1
"Com certeza Luladrão ministro. Ministro miojo, só durou três minutos no cargo",1
Covardes!,1
Estamos juntos nessa luta 👏👏👏👏🇧🇷🇧🇷,0
Bravo Bene👏👏👏👏👏👏👏👏👏,0
"Vai cuidar do seu quintal, que o nosso a gente cuida,,corrupta😤",1
Guerreira,0
Vc adora por fogo na fogueira heim Joice,0
Está gagá!,1
Tomara que isso sinalize o começo do fim dessa ideologia neoliberal na América latina,0
Lula livre povo na rua a favor de uma sociedade justa estamos com Lula.,0
"FELIZES BOLSOOTARIOS?????? A CADA DIA BOLSOMERDA MOSTRA COM CLAREZA, QUE USOU VOCES, COMO O PESSOAL DO MATO USA O SABUGO DE MILHO.....PARA LIMPAR O CÚ!!!! ENTAO CAPIAUS BOLSOOTARIOS COMO SE SENTEM COMO SABUGOS DE MILHO DE BOLSOMERDA????? SE APENAS ATINGISSE VOCES, ESTRUMES, TUDO BEM,SERIA OTIMO!!!!! MAS VAI ATINGIR A TODOS, QUE NAO SAO IMBECIS COMO VOCES, BOLSOCAPIAUS!!! INFAMES!!!!💩💩💩🐴🐀🐀🐀🐀🐀🐀🐴🐴🐴🐴",1
Cretina,1
"Eu acho que o comenta do preside está correto, ele a chamou de pirralha no sentido do assunto ter recebido a atenção da mídia nacional, porém o brasileiro e tão idiota que estão dando a este assunto, até eu mesmo fazendo este comentário, uma importância tão grande que está atrapalhando o Brasil la fora, mais que o próprio comentário!",1
Estamos juntos 👏👏👏👏,0
Esse miZeravel e um ele estava demostrando ali naquele momento estava demostrando a sua guria comtra todos nós negros incruindo eu isso e inaceitável um disgrasado dessis aí fazendo amessas para todos nós tem que ser punido pela lei não pode aceitar jamais tudo isso que esse miZeravel feis,1
Mas é lindo,0
Lula vagabundo e bandido !!!,1
Esse lixo só vomita bosta ! Incapaz,1
Outra canalha.,1
"Esse coronel de merda está pensando que e quem, vagabundo ordinário 💩💩💩💩",1
Não acredito que perdi... Deve ter sido um show de entrevista. Nadia Nagle 🌺 e Eduardo Bolsonaro🔰,0
Que gente asquerosa!!! 🤮,1
Eu sou milicia digital. To de olho aqui.,1
"Sai fora vaga, vagaba",1
Verdade mesmo 👏,0
"Meu Presidente ... merecido, parabéns!",0
"Esse tal de valente fracassado , aí de cima, é um completo imbecil. apenas mais de 40 mil pessoas discordam dele kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk",1
"Grandes coisa, pro meu país não acarretou em nada",0
"Esse elemento não fala uma frase sem insultar, desprezar e desmerecer algo ou alguma coisa. Que tipo de mulher criou essa criatura.",1
E chego a perder meu fôlego 👏👏👏👏,0
Essa culpa eu não carrego e me admira muito que tem pessoa que acham que é o certo.....depois não reclamem de trabalhar de graça .....,0
"Coitado desse Jão gordo, fracassado.",1
Canalhas e preconceituosos,1
😂😂😂😂😂😂😂 fala burrice idiota,1
🤮 nojo só de ver a imagem dele...,1
Conversa pra boi 🐄 dormir!,1
Meu orgulho,0
Isso é uma putaria!,1
Sociopata! 🤢,1
Algema em tds😂😂,1
"Se lascou doidin , vai voltar pra jaula, foi fala que faltava canalhice no governo kkkkkkkkkkk",1
"Os velhos coroneis agonizam. O mundo, nunca e jamais te aceitará em paz, Coronelzinho de Merda, Cala-te Tadeu! Seu tipo ja era, você ja deu!...Antes de Levantar teu chicote, pense....Quebraremos seus braços babaca! Toda solidariedade à deputada!",1
Num é ?,1
Conheco uma vagabunda de longe!!! 💩💩💩,1
Aquele zoom maroto no Haddad lindão! Meu presidente maravilhoso!,0
O povo merece!,0
Hipócrita 💩💩💩💩,1
É o Brasil rumo à civilização!,0
Como é rápido os processos de Lula sempre!!! o q ele é mais é outros,0
"Lamentável, deste jeito, 2022 não vai dar pra vc",0
Maravilhosa 👏👏Uma pintura😍,0
"Amo a Leda, ela é incrível! Grande profissional!",0
Ta com pena? Devolve a propina,1
Que horror canalhas😢😢,1
"Esquece o filho do presidente um pouco Joice 🙏🏼 Faz seu trabalho de deputada, que foi pra isso que votei em vc",0
🤢🤢🤢sua bosta,1
Amo muito vocês❤️❤️,0
Homem de Deus,0
"Faz que nem o comercial da Porto Seguro, “senta e chora” kkkkkk",0
Tem que mostrar mesmo TUDO que ocorre no partido no qual nós elegemos os participantes.,0
Tona no cu trabalhador brasileiro que votou no narcotraficante.,1
Tenho a convicção que a esquerda está dando MAIS um tiro no pé!!! ESSE modus operandi de fake News é típico da esquerdalhada !!!,1
"👏👏👏 lamentável que ainda existam pessoas assim,pois somos todos irmãos.",0
Só assim as hienas se apresentam...,1
Nojooooo,1
Escroto!,1
Fecha essa merda stf,1
Nojo dessa nossa política😎,1
"Tá bom!! Só um lado pode atacar então? O cara vai ouvir um monte de canalhas atacando o próprio pai o tempo todo e tem que ficar de boca fechada, ahhhh desce daí né!! Da licença!!",0
Parabéns! 👏👏👏👏,0
"🤝 Tô só na espera de votar no Haddad presidente outra vez, eu e meu nordeste, meu Maranhão.🤝",0
Vc tem que se preocupar com coisas melhores....afinal um presidente que faz as coisas que os outros mônica fizeram....falar sempre a vdd...Sra joice se preocupe mais com as votações no seu trabalho...o povo a colocou lá pq confia nos seus serviços ou pq a Sra era uma.aliada do nosso presidente e o deixou...,0
Esquerda UNIDA!!!!!,0
Lindo demais,0
Que exemplo !👏👏👏,0
Divina👏👏👏,0
"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",1
America Latina vai voltar ✊🏻✌🏻 Viva Argentina 🇦🇷 Viva Brasil 🇧🇷 #LulaLivre!,0
"Que coisa linda nunca tinha visto ,espero que o presidente fassa um aqui em SP GUARULHOS",0
"Olha esse discurso, amor @andreluizm",0
Parabéns Professor!,0
Foi tudo em um piscar de olhos.,0
ALL trasch,0
Haddad 2022 por favor!!!,0
Esse vídeo foi de 2016 esse imbecil fez isso e só falaram agora ?,1
Que escroto caquético! É a velha hipocrisia judaica no mundo dos pilantras monetários.,1
Parabéns 😍,0
"Uhuuulllll...!!!!o OSCAR É DELA..!!! KKKKKK....MELHOR EM TUDO,ATÉ ATRIZ......😂😂😂🇧🇷🇧🇷🇧🇷🇧🇷😎",1
Como alguém pode falar em honra se não sabe o q é isto e nunca teve.,0
👏👏👏👏,0
Isso é o primeiro passo pra censurar as redes sociais.,0
"Coisa feia, sô!!!",0
Ser escrotoD+,1
Mal vejo a hora de votar em você denovo professor/presidente!,0
"Tá mais fácil os brasileiros começarem a migrar pra lá... Como, aliás, já estão fazendo. Portugal que o diga!",0
Arrepiada! Muito forte❤️,0
Vc realmente é muito competente..... até pra receber caixa 2 de um milhão de reais....e condenado....né ??,0
"Lula, foda-se.",1
OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!,1
Emocionante seu discurso Benedita!!!!,0
Meu Deus😱O cara é pastor! Fim dos tempos!,0
"Hahahahaha olha isso, ele com certeza usa drogas não é normal",1
"Vc deveria esquecer o Lula,vc nao tem projetos, e deixando o povo desempregados",0
@eloah_vasconcellos da uma olhada nesse depoimento!!!,0
Velho desgracado! Isso e um absurdo!,1
Mulher IMBECIL,1
Desgraçado 👹👿,1
"Para de manipular o gado deputada, ele não criou nada só sanciono a lei que vcs criaram, mas como esperar democracia de uma parlamentar petista né... aí fica tentando responsabilizar ele",1
Louco,1
Jornalista filho do demônio comunistas,1
Nojento,1
Bandido,1
A Dilma poderia fazer stand-up... hahahahaa chorando de rir até 202....chora petralhas...,1
Verdade !!!,0
"Continuo contra! Pode ser negra, polonesa, freira, macumbeira ou miss Piraquara. Sou contra!",1
Só homens de bem! Todo o meu respeito por esses cidadãos.,0
Saudade daquilo que o Brasil não viveu ainda!! Eu votei no Professor e votarei de novo!!! #fascismonão #elenão #haddadsim,0
Piadista,0
Merecida homenagem!🙌🙌🙌,0
Cada dia mais Gorda!😂😂😂,1
Muito obrigada vs Experiência a senhora é a minha voz .,0
Da pra botar uma pá de petezada na cadeia então...,1
Se acontecer o que esse marginal quer culpa dos safados do stf,1
A pessoa que escreveu isso é um ser em trevas. Jesus tenha piedade desse ser que um dia vai chorar lágrimas de arrependimento.,1
"Velha cretina, vai cuidar do seu país..ah não te querem lá. Então vai pro inferno coisa ruim.",1
"As se.eu fosse mãe de uma criança dessa, ele ia ver com quantos paus se faz um barco.",1
"Sou bolsonarista até debaixo d’água, vou votar nele novamente se for candidato à reeleição, mas os filhos do presidente precisam realmente colocar filtro na boca. Isso demonstra um pouco de imaturidade política dos mesmos. Mas vamos lá. BOLSONARO 2022 com certeza. 👍👍👍👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0
O melhor é a cara dela no final😂😂😂😂,0
Sem noção!!!🙄,1
Porca asquerosa🤮🤮🤮,1
Deputada porque tanta ira da Joice?,0
Vamos encher o congresso de militares!! Partiu!! 🇧🇷😝😝😝,0
Vergonha até o invasor boulus tá no meio,1
Triste,0
"Perturbador, asqueroso, ridículo. 😡 #nãopassarão",1
"A imagem do Brasil era mais queimada nos anos anteriores. Sim, pirralha, e você está sendo o que neste governo. Vai trabalhar, o país não precisa de mais notícia idiota, precisa de resultados ótimos.",1
Amado,0
Projeto para ter um desses em cada cidade Brasileira..ai sim o futuro estara garantido..,0
Que cara CÍNICA,1
"O mundo é tudo e não os interesseiros que comentam...essa garota é um grande absurdo e quem a está elevando tem seus próprios interesses e a estão usando pra isso... e quem aqui no Brasil replica e da moral, tá atrapalhando o país...Ah o que já deu! Ninguém tem que se meter aqui, o Brasil e a Amazônia são do povo brasileiro e esse povo de fora não tem que se meter",1
Que agumento sua doida? Já viu esquerda ter argumento? São todos uns canalhas,1
"Esses esquerdopatas estão amarrados, amordaçados, estão vencidos e destruídos em Nome dO Senhor JESUS CRISTO 🙏AMÉM E AMÉM 🙏",1
Misericórdia e compaixão deles populismo sem precedentes. Só roubaram pelos quatro cantos do mundo,1
A justiça com Lula vai a jato,0
"Quanta intelectualidade, cultura e inteligência em uma única imagem. 🤗❤️",0
"ESSE CANALHA SAI DA CADEIA E EM MENOS DE 10 MINUTOS DESPEJA SEU ÓDIO, SUA AGRESSÃO E CONVIDA SEUS SEGUIDORES A ATACAR? O GOVERNO PRECISA SER MAIS RIGOROSOCOM ESSE VAGABUNDO. NESSA SUA SAIDINHA NÃO REPAREI A PRESENÇA DOS SEUS FILHOS PARA RECEPCIONÁ-LO.",1
Cadeia nessi mizeravel disgrasado que feis isso aí esse disgrasado estava aí si amostrando o dominador momtrando a todos nós negros incruindo eu um cara maldito esse cara estava demostrando ali naquele momento a guria dele comtra nois negros desse país,1
Pirralha,1
O q um investidor de valor vai dar atenção p essa pirralha ! Pirralha nunca produziu nada na vida ! Ridículo sua colocação,1
Nojo define.,1
"Menina triste... Muito estranha... O dia que ela sorri, vai ser notícia mundial 🌍 BOLSONARO tem toda razão!!!",1
🇧🇷🇧🇷 DEUS. No comando,0
Parece que para atuar na #ONU precisa ter postura e comportamento #desprezível #hipócrita #falsidade.,1
Haddad vc é muito lindo meu presidente👏👏❤❤❤❤❤❤❤,0
Professor estamos contigo nós te amamos.,0
É pouco!!!,0
Parabéns Deputada Benedita!,0
Merecidamente. Parabensss,0
Parabéns Mestre🙏🏽,0
Ladrão Fdp,1
mafioso..bandido..,1
Essa dupla ❤️,0
"Sujeito desomano só pensa nele e na familia dele,mas eu creio Deus,diferente de que é falso com Deus",1
Penalizada tem que estar do povo Venezuelano e envergonhada por receber propina😱,1
"Essa bancada evangélica envergonham os verdadeiros cristãos, embora muitos se deixaram enganar. É o tratamento dentário, terminou?",1
"Quem quer o Brasil? ,kkkkk. Nem eu!",0
"Vocês estão fazendo tempestade em copo de água. Vc postando isto, também está dando munição para oposição. Pensa bem 🤔",0
quanta gente ruim em uma unica foto,1
"Como pode ser TÃO PODRE, TÃO RIDÍCULO?!?!",1
parabéns,0
Parabéns,0
Que lindas bandeirasss 💖😍😍,0
Parabéns pastor toma vergonha na cara,1
Parabéns meu presidente!👏👏👏👏👏,0
Você merece. Nós merecemos você! Volta!💕❤️,0
Hospício já para a estocasora de vento. Viva ustra.,1
"Um tem a cara do outro,dois vagabundos,que roubaram e afundaram este país. Dois caras de pau, ladrões...",1
Bom dia professor nosso futuro presidente 👏,0
Hahahaha jornalista de merda,1
"Super merecido! Parabéns, Professor! E obrigada por criar os Institutos Federais ❤️❤️❤️",0
🤣🤣🤣🤣🤣🤣🤣 tem dó! O que fortalece a esquerda é uma esquerda disfarçada de direita.,0
"Esta idiota não cansa de passar vergonha, parece que se não passar o dia fica perdido",1
"Arre, alguém que ainda resiste aos “encantos” de Lula.",0
A ministra é genial,0
Mimimimimimi PT mimimimimimi PT mimimimimimi,1
Velha gagá FDP,1
Impeachment já do Bolsonaro,0
"Joice, daqui pra frente vc perde até para o PT",0
Quem é esse jornalista?,0
A ânsia de atacar nosso Presidente é insana. qual a dificuldade desta gente em respeitar os resultados das urnas? que vão para o inferno. Tem que respeitar meu voto sim.,1
"Tem que divulgar a lista dos parlamentares que derrubaram o veto , e o povo tem que fazer barulho e nas próximas eleições derrubar a todos eles nas urnas, é hora de dar um basta em tudo isso.",0
Ridículo esse cara,1
"Você chama estes lixos de parlamentares, estão mais pra ratos de esgoto que para parlamentares.",1
Esse cara é um louco ! Fora Bozó!,1
Vagabundo,1
Mais uma esquerdista ridícula💩💩,1
Esse é um miserável que entrou na presidência pra acabar com o Brasil e com a classe que realmente trabalha! FORA TRASTE! FORA COISO!,1
Muito legal👏👏👏,0
A maioria dos otimistas somos nós 👏👏🇧🇷🇧🇷,0
"Bom caráter, pessoa e família maravilhosa",0
Merecido!!!!! O que fez pela Educação enquanto Ministro nos deixará com saudades de um dia nós professores termos sido valorizados.,0
Não precisa de AI5 O que venha o Artigo 142 já.,0
Pirralha !!!!,1
Mula,1
Estamos juntos! Somos Brasil! Somos de todas as cores!,0
Finalmente alguém que merece !,0
Por vários anos lavei as fardas delas com muito orgulho.,0
Se unem a favor do Brasil... vê se a esquerda fica um contra o outro. Eles se unem... pense nisso,0
#porcarosa,1
👏👏😍 tu é o cara! Te amo professor lindão!!! 💙,0
Vai vencer!,0
Apoio sim,0
Certíssima ✋,0
"Palhaçada, pirralha",1
"Bandido bom e bandido morto! Independente da cor! Você ainda vai ser vítima deles, aí quero ver manter a opinião. E outra, vocês são todos corruptos, logo chegará sua hora",1
Pirralha é pouco é uma idiota,1
Agora!!!!,0
👏👏👏👏👏👏🇧🇷 o Brasil precisa de NÓS ❤️,0
🙏🙏 Estamos juntos Presidente Deus é a nossa proteção!!!,0
Parabéns para essas guerreiras corajosas,0
"Q top, o Haddad é professor, gênio, prefeito, capacitado pra ser presidente, etc e tem um cara q acha q indíos jogaram fogo na casa deles mesmos",0
Sou negrão e essa mulher não me representa ...,0
Tem tantos bem mais importante pra eleger essa débil pra isso!,1
"Dando o exemplo, pra quem devia ser o exemplo",0
Gostou do preconceito do seu presidente com Roraima governador? @antoniodenariumrr ou vai fingir não entender?,0
NOJO,1
"Maravilha deputada, parabéns",0
Meu marido ❤️,0
Pra frente Brasil ! Salve salve !,0
Oiee poderia nos divulgar?❤️,0
É um imbecil!!!! Muda o foco,1
A melhor ministra e pessoa humana.,0
Lindoooooooooooo😍😍😍,0
velho nojento 🤮,1
😂😂😂😂😂😂😂 ridículos,1
"Para de dá nojo tbm, vai trabalha, esquece dos filhos dele, mostra o que vc faz",1
Grandes 💩💩💩isso,0
Vai voltar pra onde não devia ter saído!!!!!,1
Manda esse vagabundo de volta pra cadeia.,1
Se a Pátria querida for envolvida,0
Eu já disse : Se às Forças Armadas não FECHAREM este Congresso Nacional Corrupto nossa NAÇÃO estará condenada à Venezualizacao. Seremos uma Republiqueta bolivariana !,1
Parabens👏,0
Verdade!👏🏽👏🏽👏🏽,0
Ah votei bolsonaro mas nao vou fica apaixonado nao blz,0
Que discurso emocionante! Parabéns Benedita 👏👏👏,0
Todo apoio a deputada Benedita Silva todo meu repúdio a esse Tadeu que não representa😂a nação brasileira,0
"se falar A ESQUERDA RECLAMA, se não falar A ESQUERDA INVENTA...bora esquecer essa esquerda DUZINFERNOS e trabalhar meu povo!!!",1
Aí a ganância falou mais alto... corrupta!,1
Maravilhosa!,0
Parabéns professor,0
Corja de VAGABUNDOS.,1
Essa massa merece,0
Se provurarem nos discursos dos da esquerda vai encontrar muito mais a se o,0
"Temos que calar a boca deste idiota, sai fora idiota vc tá procurando e vai achar.",1
Esse meliante só fala bosta.,1
Jumenta,1
MEU DEUS!!!!! ESSE VERME TEM QUE SER CALAFO.,1
"Meu presidenteeeeeeeeee ! Socorro,não aguentamos mais.",0
"Cortei inúmeras páginas que não é oficial, tem comunista que entra nesses grupos que fazem campanha até para não comer carne, é bom aí sobra e os produtores exportam mais ,E a greve segunda feira?.",1
Trairas,1
Cadê o PSL para apoiar o Presidente no Congresso? Quem mais joga contra é o próprio partido. Acordem!,0
Corja de VAGABUNDOS,1
Estes filhos do Bolsonaro podiam ficar quietos ne? Ajudaria muito!,0
Tenha vergonha na cara e fale dos vcs fizeram com o Brasil!!! Nos fale sobre como está o Lula kkkkk,1
Mocosa! Ahahahahaha,1
O congresso parece um reunião de marginais.,1
Meu presidente sempre elegante.,0
Quando era amiguinha do presidente não fazia essas coisas.,0
Bolsonaro 2022💚💙👉,0
Meu Deus..que abominável este jornalista..força ministra estamos com a senhora.😭😭,1
Cana nesse pinguço ladrão!,1
Pirralha... aposto que ela usa canudinho no @mcdonalds 💀,1
FDP,1
Até os de direita acham! Pq não é preciso ser de esquerda ou de direita para identificarnos falas que são posições claras de afronta à democracia!,0
Dois lindos na parede😍,0
"Coisa feia, vai cuidar da sua casa,",1
"Quem votou nele deve tá adorando,..",0
Lindos 👏👏👏 que Orgulho 😍😍😍,0
Datafolha....🤔🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
A máscara dessa traidora Joice Falsemam durou menos,1
É tão gratificante falar: Parabéns Professor!! ❤️❤️❤️❤️,0
Tenha pena de você mesma imbecil!!🤬,1
O cara conseguiu fazer ninguém mais se chocar com as merdas que sai da boca dele. Ninguém aguenta mais. O país comandado por um lixo humano e apoiado por 29% de malucos.,1
Fala sobre o rombo deixado pelo PT..,0
O chamado crente do demônio né,1
"Amém, o brasileiro precisa de emprego! Condições de trabalho, saúde, ensino e segurança pública de boa qualidade! Nosso povo confia em trabalhador pq a maioria é trabalhador! 2020 será um ótimo ano para quem gosta de TRABALHAR! 🙏",0
@kennedyanf já vi que vc é muito bom em postar vídeos falando sobre reportagem. Mas vou medir agora o tamanho da sua arrogância ou o tamanho da sua humildade pra reconhecer o motivo do silêncio. Esperando seu argumento.,0
Esse é o meu Presidente muito orgulho !!!🙌🇧🇷🇧🇷🙏,0
Pirralha!!!,1
"Ou melhor, pena que todas as escolas não tenham a mesma qualidade! Pois todos os alunos têm direito de estudar em escola de qualidade!",0
Mas gente vcs sao contra ou a favor do presidente?tanta coisa q todo mundo fala acho q nal precisa continuar postando deixa q a globo faz isso,0
"As perguntas já são induzidas. Tentando obter somente respostas que queimem o governo, mesmo assim não conseguiu, além dessa reporte q é ruuuim pra caramba...😂😂",1
Ainda vai ser nosso presidente se Deus quiser sinto que és um homem de de bem,0
Vitória certa....Parabéns,0
Parabéns!👏,0
Joice traíra,1
Se lascou Globolixo 🤮🤣🤣🤣,1
"Cadeia nele, será que vão ter punição?",1
STF uma vergonha nacional #intervençãomilitarjá,1
POIS É DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil.,1
São uns malditos vagabundos criminosos! Pena de morte pra todos!!!,1
Parabéns!!!! O Sr merece.,0
"Um pior que o outro, só lixo. 😠",1
Pirralha socialistas de iPhone 😒,1
FDP,1
Como elegeram esse senhor??🤮🤮🤮,0
Lula livre homem voto no Lula,0
Feiúra,1
Segue ai amigos @nataliagontijopsi,0
"O grande problema é que os fracassados, jamais torcerá para que outras pessoas tenham sucesso. No caso aqui... ESSA TURMA DO PT. Eles nunca mudaram e jamais mudarão.... Sempre prestarão um DESFAVOR AO BRASIL. Gostaria apenas de lembrar aos meus compatriotas que o nosso verdadeiro inimigo NÃO ESTÁ NA FORA... TÁ AQUI DISFARÇADO",1
Meu jesus,0
Receber propina não te envergonha Bachelet? #BolsonaroPresidente2022🇧🇷,1
Ricardo Coutinho você é o cara minha expiração 🙌🙌🙌,0
DEUS acima de tudo e de todos,0
🙌👏 bom dia meu futuro senador,0
@douglas_leonardo88 pergunta sobre o #fundoeleitoral pro seu patrão Miliciano Branco e racista 😂😂😂 👉 https://congressoemfoco.uol.com.br/economia/bolsonaro-justifica-aumento-do-fundo-eleitoral-nas-redes-sociais/,1
Canalha!!,1
Um grande perdedor!,1
Prostitutazinha da #globolixo vai se LASCAR,1
Toma lhe cadeia seu velhaco,1
Imagine se esse sujeito não fosse cristão evangélico?,1
PT roubando o país inteiro!!,1
Tá explicado! Traíras do Brasil! Tá no DNA 💩🤮,1
Quem não votou tb ajudou a elegê-lo,0
O Lula vai continuar preso babacas!,1
Ele é loooooouco,1
Esse nosso presidente!!!,0
PARABÉNS ministro FACHIN,0
Nojento!!!! Ninguém vai fazer nada??? Vai ficar por isso mesmo???,1
Ameaçou o Presidente? Tua credibilidade é zero🙂,0
E dar audiência é o que???? Ajuda???,0
"Sinonimo de pirralha.. criança ,,, faz coisa de criança,,, pensa como criança... É só isso gente.. kkkkk... Nao tem maldade nenhuma",1
Essa menina não tem nada de importante só por que protestou?,0
Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,1
O gilmar mendes a folha de sao paulo a globo.vão decicidir o que é fake news,0
Imbecil,1
@ledanagleoficial se tornou maravilhosa nesse seu novo trabalho!,0
"Com certeza. Com tantas notícias boas para celebrar na economia, pra que criar problemas onde não tem?",0
Não esconda seu mau caratismo em cima de profissão como essa ! Inútil.,1
"Homem nojento, sem limites!",1
Desgraça,1
BOLSONARO E UM BANDIDO NÃO SEI QUE ESTA FAZENDO ESSES POLITICO QUE NÃO CAÇA ESSE TORTURADOR E CONDENA ELE POR CRIMINOSO DE GUERRA.,1
Quem financia? Já sabemos,0
Gosto muito! 👏👏👏👏👏👏❤️❤️,0
Até que ponto chegaram estes doentes.,1
Ate hj não entendo como elegeram um idiota daquela ao invés de um.homem culto como este,1
"Quando uma menina perde a paciência com o descaso e ganância humana, o poder econômico acima de tudo. Greta sua indignação é o começo de um mundo melhor, nosso planeta vão ser respeitado e seu futuro preservado.",0
Não vou perder!,0
Eu nunca vou entender como as pessoas deixaram de votar nesse professor pra votar naquele senhor sem educação sem ética,0
👏👏 2022 nos voltaremos,0
"E um desgraçado, mais uma dia Ele saí",1
Esse criminoso é uma aberração.,1
Lindíssima! Uma deusa!,0
"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR, esquece o BRASIL e vá cuidar dos seus problemas",1
Parabéns meu presidente!,0
👏👏👏👏parabéns Benedita orgulho de sua resistência,0
Toma vagabundo😂👏,1
Tenho mais nojo de quem votou nesse jegueeeeeee..ahhh vc votou vai aqui o meu FODA_SE pra vc ...🤗🤗🤗🤗,1
Velho depravado,1
Falso profeta....Isso eu sempre soube...Nunca gostei da tua cara.,1
Amo ver a Globolixo pagar mico kkkk,1
Meu coração não aguenta assim! 😍,0
Horrível! Silvio precisa ser parado urgente!!! 😢😢😢,1
Amigaaaa vc arrasa @morgadoisa,0
Vagabundo safado golpista pastor do cao,1
"Sabe, fico até sem palavras pra tanta loucura em uma só pessoa!!!!",1
Todos sabiam disso.,0
Nojenta! Lava a boca pra falar do nosso Presidente!,1
Mete bala nesses bandidos !,1
Meu sonho minha filha estudar no colégio militar. Lindos meninas e meninas! Avante pelo Brasil Bolsonaros!,0
Ser mais escroto.,1
O que ele diz não se escreve.,0
Q mais vamos ter q ouvir? Quantos desmandos!!,0
"Me perdoe, valorosa Dep. Carla Zambeli mas este nosso amado País está por demais corrompido em suas bases mais necessárias para o pleno desenvolvido do progresso tão almejado por todos nós brasileiros. O mal que se infiltrou no nosso meio só sairá se primeiro houver um tratamento de choque ( que tenho até receio de pronunciá-lo) , extirpando por completo a raiz de todos os males e cortando-lhes os veios que a alimenta e só depois partir para atitudes que hoje vemos sendo desenvolvidas no congresso e afins. Considero todo o Congresso Nacional como um símbolo universal necessário da democracia que é importante e imprescindivel para o desenvolvimento saudável dos povos mas o que vemos é um Congresso fraco, abatido, por um lado pela corrupção, por outro pelo desânimo, medo, descaso, irresponsabilidade e descompromisso com o povo, com a Nação. Lamento, mas no passo que estamos indo, chegará o tempo que terão toma",0
"Amanhã, 13 de agosto!!! Vamos às ruasssss!!!",0
A imprensa parece as vezes um judas.,1
Parabéns unidos venceremos,0
"Com sempre, Lula só perde, o que NUNCA ganhou..... kkkkkkkk",1
Muito bom👏👏👏🔥🔥🔥,0
Que homem! 💖😘,0
"Mais de qq forma ta muito estereotipada, vale pela representação mas falta pela veracidade",1
Que honra hein,0
Canalha.. Bandido.. quer ver sangue de irmãos brasileiros.. para satisfazer seu ego .. Bandido.,1
"Genial, adoro o Duvivier",0
#gorda,1
Parabéns Professor,0
Belo disfarce hein bandidagem 😁,1
Não gostei da comparação @carla.zambelli ....vc não precisa disso não...vou deixar de seguir por uns tempos,0
Perfeito sua fala Dr Janaína...ele tem que se tocar e para de colocar o pai dele em situação difícil.,0
Triste,0
Concordo c ele,0
A esquerda precisa se organizar e lutar juntos....,0
Continua assim Ministra.Os cães ladram e a caravana passa.Voce é uma grande mulher,0
Aii meu coração 💜,0
"👏👏Parabéns professor ,vc merece.",0
E isso vale para os coxinhas 🍗🍗🍗 também ???? Nossa!!! Governo pato...🦆🦆🦆🦆🦆🦆 Só come abacaxi ...🍍🍍🍍🍍🍍,1
Desgoverno dos infernos.,1
TD contra os pobres.,0
"Um babaca desse tipo tem a responder um processo sinistro, tirar até as cuecas de um miserável ordinário desses.",1
Meu presidente ❤️,0
"A grande destruição ambiental no Brasil ocorreu principalmente durante os anos que a europa nos colonizava e hj europeu vem nos dar lição de moral, isso é um grande hipocrisia. Deixando claro que votei em Haddad Nordeste13",1
canalhas,1
"Marginais, gente suja. Deveriam ser expulsos do país!",1
Parabéns!!!!!,0
Esse calhorda nunca mais terá a força que nosso Brasil tem hoje 👏🏻👏🏻👏🏻👏🏻,1
Golpistas e agora os facistas..,1
Kkkkkkkkkkkkkkkkkk #globolixo,1
