text,offensive
Nao houve rebaixamento pois existiam duas ligas,0
Mas ai o MBL mobiliza o povo e vai pras ruas  ironia,0
Vai pro tanque sras Sonia,1
A bandidagem continua se escondendo,0
Concordo pois ele e bom para montar time,0
O   PARA  TB   SE ACOMODOU UM POUCO  PODERIA REVESAR ELE E O RODNEY ,0
So o oculos dele deve da pra comprar um apartamento ,0
Banco cheio de problemas governador ,0
NAO E MACONHA    E CANABIS  SEJA MAIS ELEGANTE  NESTE CAITE,0
Da ate pena esse time so passa vergonha ,0
Aposto que ainda vai ser o presidente da camara,0
Vai roubar a neve tambem,1
SE TITE NAO SE TOCAR MESSI VAI DEITAR NO PAULINHOBRASIL X,0
REUNIAO DE COMUNISTAS E CORRUPTOS,1
Temer ta bem pra caramba ne  Trouxinha,1
Rodrigo realmente e muito facil de compreender isso Eu compreendi que foi um golpe de mestre Ah ah ah,0
As rosquinhas das tricoletes estao ardendo por causa do Conca Pode   ,1
HAHAHAHAAHAHAHAHAHAHAH GAZELA DETECTADA,1
Acordem Trouxinhas A casa esta caindo,0
O Pentateuto que nome estranho acredite Sua capacidade de discernir ainda pode ser resgatada,0
marcos nao precisa ser guerra fria FRIA e onde essse degoverruPTo nos jogou  VERMESLHOS FORA,1
Acho que ta faltando provas,0
Mano na boaAngelim  volte pro video game rapaz O cara fala Messi ja foi eleito o melhor fora de outro time  E por acaso o Pele foi considerado melhor em outro  Ele no Cosmos ja estava no final de carreira Nao existe isso de tem que provar em outro clube Se for seguindo essa tua logica Iniesta e uma bosta segundo voce,0
Ui Nooooooofa que lindo fofa Nosso galao e mara ne amiga  rajkazblanks ,1
Contrato de  anos Esses clubes sao loucos  anos no maximo,0
Deveria estar preocupada em acelerar julgamentos que beneficiam aos trabalhadores ao inves de se preocupar com bandidos,0
muitos jogadores sem condicionamento fisico pra disputar um brasileirao deu nisso,0
que absurdo estou indignado com essa chacota ,0
Nao deve ser somente a boca que e moleo falecido nem  sobe mais,1
Se e contra o Brasil nao sei mas contra essa PEC maligna e draconiana eu sou e serei sempre,0
Especialistas afirmam que a PEC nao e boa e a principal razao e porque ela nao ataca o problema real do rombo no nosso orcamento PAGAMENTO DE JUROS DE UMA DIVIDA QUE NAO E AUDITADA Foge da logica pagar juros de uma divida que mesmo com arrecadacao maior so cresce,0
Em pontos corridos nao tem disputa de penalty rajkazblanks ,0
voce esta desinformado,0
Vc come bosta pra falar uma asneira dessa,1
Na verdade  mesmo ja passou da hora ,0
enquanto isso o Palmeiras continua sem mundial,0
Felizmente extirpamos o ProjeTo defoder o povo dos clePTorruPTo,1
Boisonso voce esta errando no uso das virgulas,1
ah vai se fu de voce,1
Aproveita e deixa essa capivara por ai,1
esse ai e matador,0
Intao se vc nao ganhar nd e pk e ruim msm,0
E serio isso ,0
esse balofo vai morrer pela boca ,1
Rafael dois finalistas da Libertadores do ano passado Um deles titular da selecao Equatoriana o outro futuro camisa  da selecao Ambos ja sondados por clubes da Europa Quem vai dar certo mesmo e o Conquinha com  anos e todo bichado kkkkkkkk,0
Apelando nao compara com qualquer um ele joga Facil,0
DEMOCRACIA BANDIDA CUMUNISTA ASSALTANTE DE BANCO ,1
O fato e que Nao ha um politico honesto no Brasil,0
Ele foi sincero Corram atras,0
vamos voltar  anos atras e ver o que ele fez no  x ,0
Peco ajuda aos universitarios que me ajudem a interpretar o que o zozoi quis dizer,0
Porque nao vai aos Hospitais que estao super lotados e falta de equipamentos,0
Ele esta feliz em voltar a Bahia menos o povo baiano,0
Bem lembrado Marcos Alves  Essa PEC e muito importante para a tao sonhada reforma politica Eu ja participei  ,0
JOao Ostral um idiota assumido Que beleza ,1
So ganha se ROUBAR senao e CHEIRAO DE F E Z E S mesmo,0
Nunca houve um presidente que gastasse tanto melhor comecar pelas proprias contas,0
OS PRESIDIOS ESTAO OTIMOS O PROBLEMA SAO AS ESCOLAS E HOSPITAIS,0
Estao perdidinhos Nem anotaram a placa do caminhao que atropelou a petebada em outubro,0
Perfeito Marcio Lembrando que muitos politicos sao donossocios de empresas de plano de saude escolasfaculdadesuniversidades particulares preciso desenhar,0
 Milhoes para Sergipe  e  Milhoes pra Alagoas   Governador de Sergipe e um Bndaum Mesmo ,0
sera  que  a   ministra Carmen Lucia presidente do Supremo Tribunal Federal   esta  procurando  vagas  para  os  politicos  ladroes  Bandidooooooooooooooos   no  presidios   que  esta  visitando   kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
DERROTADA nas Urnas em que urnas ahahahh ate onde ganharam perderam pra votonulo ahahahh,0
Nao vi corte algum DEIXAR DE GASTAR nao e cortar,0
aprende a escrever cavalo ,1
NAO ESTAO NAO SENAO RECRUTARIAM A TUA MAE SEU VERME,1
perfeito os garotos da base sao melhores que esses jogadores citados,0
ADVOGADO DE BANDIDO E BANDIDO IGUAL E TEM QUE SER EXTERMINADO,1
NOS PEOCUPEMOS COM NOSSO PAIS ESTE ESTA SUJOOS OUTROSPROBLEMA DELESIGNORANTES,0
Pois e Qualificou e investiu pesado na PF e uns acham que e unico culpadoSP ta com falta de policial civil e PM e os paulista se acham kkkkkkkkkkkkk,0
Se o seu dinheiro for fruto de corrupcao vc devera ser preso sim ,0
Esta visitando as novas instalacoes do Conde Dracula e seus Vampiros,0
Viadage total isso ai,1
Na categoria so TJ tem chance consideravel Cruz tambem mas menos no entanto ainda apostaria em Cody Ja contra Aldo ele nao seria o favorito Aldo usaria  bem os jabs e os low kicks e faria uma luta estrategica,0
As radios sao controladas por politicos so precisavam do presidente certo pra ganhar o presente Muita gente  vai xiar o AM tem maior alcance,0
Hahahahahaha jumento,1
Vermelho nojento deveria levar um tiro na cara bandido ,1
Ja ta chato essa historia do Walter td ano e isso,0
Nao e que a veia ta segurando um cigarrinho de maconha mesmo ,0
Voces sao idiotas ou se fazem Voces sabem que ele e do executivo e quer que interfira nos outros poderes Esses salarios sao vinculados a texto constitucional se informem mais nao que ele seja santo mas pra nao passarem vergonha de falar coisa que nao sabem,1
So uma pergunta O que seria do Real Madri e Barcelona sem os estrangeiros ,0
Deveriam mas isso nao sou quem vai saber te responder pergunta la na PF,0
manda matar tudo e  esvazie as celas e vire heroina nacional,0
Falou o cara que nao sai da pagina verde,0
nao entendi a colocacao podre  onde  pais  nao e no pais,0
Enquanto isso Seus Ministros fazem farra com dinheiro publico,0
Vai la lamber as bolas dele,1
Voltaram so a fazer o que senpre fizerem Sao os defensores do povo lamentavel ,0
e tome dinheiro pra industria da seca,0
Gosto delaNo STF e a unica que sabe o que diz e entende o que escuta,0
o temer e o melhor que ta tendo ne com ele nosso pais e a sexta maior potencia do mundo ne,0
Mano na boa como eu sabia A Ronaldete nao tem argumentos,0
Pra quem nao sabe e aquele mesmo hotel que a Ana Hickimann estava,0
Tinha que ser baianoputz que povinho,1
Alguem falou em helicoptero,0
Estourou o placar quanto e isso,0
Ele vai ser o pior presidente da historia,0
Derrotada nas urnas Gostaria de saber mais,0
Romulo come bosta,1
Sejam honestos aprovem o projeto original vamos acabar com esta farra no Brasil,0
ze vai cuidar do titulo   jogos  mexendo mal ,0
E vc e um idiotao,1
Volta pra jaula sua macaca vou pegar meu xicote sua preta fudida,1
VOCE E INGENUO OU UM PERFEITO IDIOTA ,1
Aproveita que esta ai e ja implanta pena de morte para esses lixos  Bndido bom E bndido mrto,0
Junior no nome e marmota nas atitudes Ooooooo sujeitando tapado,1
Diz pra esse povo parar de ficar dando chilique e tomar vergonha  na cara Que palhacada e essa,1
Esse Tabare e o tipico bolivariano light se e que isso existe,0
Melhor comecar cortando as despesas dele porque nao houve ate entao nenhum presidente que gaste tantocomece cortando a propria carne,0
Ententam uma coisa nao ha denuncia sem provas,0
Demente total ,1
Que fique por la essa ANTA,1
quem nasceu para ser  a  jamais sera Junior Baiano ,0
Cala essa boca jumento,1
sai armario na mesma velocidade em que baixa a qualidade de seu futebol,0
MIERDAS,1
NUNCA  JAMAIS SERA ,0
O Brasil deve vencer mas vai ser um jogo dificil,0
Sempre a admirei agora mais ainda      Bela atitude  ,0
Que materia espetacular em Grs,0
Perfeita explicacao fisica Antonio Souza Mas acho que em OC e OT ninguem mais transmite ne,0
Para quem nao entende existe sim a transmissao de radio AM aindaem cidades pequenas nos locais mais afastados das capitais  onde fm nao chega nem com chiadosa AM chega ruim mas cheganos  cantoes deste Brasilzao  so AM chega e com muita palha de aco nas anteninhasagora esse povo pode ficar sem este entretenimentopois tv analogica sempre foi luxo a TV digital sera utopiaagora sem AMserao isolados  ate de informacoestudo que eles queriam quem sabe,0
GUILHERME SEU IDIOTA,1
O golpe dela Rosana pra se reileita se chama bolsa familia,0
O Serra com  milhoes nada tambem,0
O cara que coloca  chiquinho  para  cirino e gabriel para jogar nao pode ser normal,0
Essa Maria Benta provou do peba na pimenta de seu Malaquias ,1
pois e quando estavam la nao fizeram nada de bom alem de distribuir dinheiro disfarcado de bolsa familia e outras coisas nesse sentido Educacao  Otima Saude Otima  isso ja  melhor do que distribuir dinheiro ,0
Politicos jamais aprovam leis que prejudicam eles direta ou indiretamente esta PEC e um desdobro pela crise que o Brasil esta devido as dezenas e centenas de bilhoes de reais desviados todos os anos pelo Brasil muito dinheiro meu amigo que faz  a diferenca,0
Guy Gay boiola e tu e teu pai,1
O Pratto ai lado de Messi  vai deitar e rolar em cima da nossa selecao falida,0
Ate agora so cortou o acem porque o file mignon continua nadando de bracada,0
Quando falamos a verdade nao publicam Ainda falam em liberdade de expressao,0
A bixaria coxa ta no desespero ,0
kkkkkkkkkkkkk Que idiota,1
Isso dai e formacao de quadrilha A defesa da democracia so risos,0
Olha ai Sergio moro ela dando vacilo kkk pega ela pow,0
A pec do mal comeca esta semana o fim de nosso pais ,0
vamos ver quantas maes que tiveram seus filhos assassinados por estes assaltantes a Ministra vai visitar,0
O governo nao tem e nem pode ter carne A carne que estao cortando e do povo via deservicos publicos ,0
Alvaro e isso   A nossa arma e o voto  O problema e que o povo na sua maioria nao tem instrucao Nao estudou a historia do Brasil,0
Apos quatro horas nao conseguiram encontrar um exemplo sequer de ditadura em paises desenvolvidos porque sera,0
Joao Pereira seu anencefalo Seus comentarios sempre me enojam ,1
O flaM E R D A vai aproveita o JUIZ e os BANDEIRINHAS no profissional em ,1
a zika mosquita estocadora de vento tambem esta de mudanca pro Uruguai vai ser vizinha do molusco,1
Sabe o que e engracado e que SIM O POVO VAI PAGAR O PATO RECHEADO E BEM GORDO,0
E so ver o numero de dislike de seu coment inutil e ver que nao tem tanta moral assimPalhaco ,1
Esse modelo de Enem e enganar o povo que pensa que vai entra na faculdadeentra uns poucos o resto e tudo fraude,0
Primeiro aumento para os amiguinhos depois ferro no povo,0
Isso mesmo Nao tinha pensado nisso mas e uma hipotese plausivel,0
NAO ACHO NADA DEMAIS NESSE CUEVA SO FAZ GOL DE PENALTY,0
Achei que a macaca vivia apenas na floresta ou no zologico,1
Repatriacao do dinheiro dos  parentes laranjas,0
ainda mais se for hospedar um politico  boa Rubens,0
Walter devia lutar SUMO PODERIA SE DAR BEM,1
Quer vida facilva rodar bolsinha na AvAtlantica ou na Vieira Souto Joao,1
este  Temer fala em cortar a propria carne entao porque nao comeca cortando os aumentos q ele sancionou dos ministros e deputados e assim ele ja pode ver um melhor desempenho mas nao prefere tirar da gente do q deles mesmos  ,0
O empresario desse rapaz e simplesmente magico,0
Sua mae nao reclama Joaozinho,1
So vejo os comunistas contra a PEC o resto q vejo sao todos a favor,0
DE GRANDE FLAMENGAYSTA SO GOSTA MESMO E DA TORCIDA AS RUBRONECAS NEM SE IMPORTA SE E TORCIDA PARA A ESQUERDA OU PARA DIREITA MAS TEM QUE SER GRANDE,1
Eu desempregado e esses esquerdopatas enchendo a mesa de caixinhas com bosta dentro,1
Esse MITO sabe tudo de futebol ,0
SUA BATATA JA ESQUENTOU SEU BEBADO E LADRAO DO POVOCADEIA NELES DRSERGIO MORO ,1
Sonha boneca,1
CariacicaES ainda seria melhor Bota o jogo contra o santos e o coxa la,0
Olha ai um esquerdopata cmedor de alfafa me negativou  ,1
E os vermes do psdb Aaaa isso nao vem ao caso  ,1
Bandido defendendo bandido Estranho esse papo,0
ta nadando em dinheiro entao chamar de boca mole e o que menos importa e um ratao do banhado,1
Venda casada ,0
Voces precisam pesquisar melhor a historia do campeonato de  ,0
E so colocam ele pra pegar as novas safras ai e q a surra e pior ainda essa luta nao passa nem do o round podia colocar ele contra os semiaposentados pra ver se tinha alguma chance,0
Esse ano pra vcs foram muitas frustracoes eliminados de tudo que participaram e mais a de ontem ,0
Alexandre Acioni vai estudar pra saber o que e comunista Essas medidas do Temer sao pior que comunismo voce e mais um pobre metido a besta que fica repetindo mazelas igual a um papagaio de repeticao,1
agora e do setor eletrico que ninguem quer investigar,0
ai louca ta nervosinha,1
Essa velha deveria passear menos e agir mais Ate agora so conversa,0
So ha justica para os pobres um pais onde os ricos ficam impune,0
Uma so e pouco Besta ao quadrado ,1
Nao temos timeTemos um bando de jogadores meia bocatodos sem nenhuma qualificacaoBarcaJA,0
Porque e menguinho so vcs que pensam e falam que e grande,0
Tudo que os petralhas tocaram faliu Inclusive a paciencia do povo,1
Edmond antes de julgar comentarios  que tal vc tentar saber a verdade o projeto de lei   tratava de reformas da previdencia e foi barrado pela oposicao na epoca que por acaso ou golpe do destino hoje e governo,0
Bauza retranqueiro vai botar pra cacar o neymar podem tirar print,0
Sem reforma tributaria e a do mercado da divida NUNCA cortarao da carne Juros da Divida publica levam cerca de quarenta e tres por cento do orcamento Os gastos primarios nao chegam a  por cento A PEC nao vai resolver nada,0
Toma vergonha na cara seu boiola maconheiro infectado,1
Brincadeira e vc acreditar realmente nisto,0
Karen vai lavar a louca q ta suja,1
Mas ele nao e  do futebol paraguaio,0
Pq o Morosita recebe ordens externas A ordem nao chegou ainda,1
Isaque nao se faca de tonto Chore menos sua Lionete,0
Em resumo deve ser um idiota,1
Eu quero ver o Abel brucututreinando esse time de bonequinhasnao vai da certo ,1
duvido que essa ministra peca reducao de seu salario para tres mil reais,0
Dali ele foi pro Panama para acabar de esconder o butim,0
O filhodaPhuta do Brasil ,1
Kkkkk,0
x no minino mano o Bauza vai vim todo na retranca,0
Preparemse todos Corte para concursos publicos poderao colocar seus apadrinhados com altos salarios sem concurso sem verbas para saude educacao e seguranca publica  aguardem aumento de assaltos Para reduzir gastos bastaria fazer cortes nos altos salarios de cargos comissionados sem concurso e beneficios dos gestores,0
Boca de sapo,1
bi sexual ne e o unico bi que vo tem mane,1
a bixaria da mortadela ta no desespero,0
gerar impopularidade com quem com os eleitores ou com os parlamentares ,0
Foi dar uma olhadinha na conta dela e aproveitando vai ficar na casa do  dedos em punta,1
baguncado do jeito que esta daqui ha pouco vai ter juiz de primeira instancia mandando grampear ministro do stf se e que ja nao esta acontecendo e depois vai dizer que a prova foi colhida de boa fe a lei da magistratura resquicio da monarquia tambem precisa ser revogada,0
Melhor do mundo,0
Queremos ele morto,1
A policia civil do RJ por exemplo nao tem nem privada pra kaggar e essa capivara ta preocupada com bandido ,1
Denunciado hoje de novo ok mas preso quando ,0
verdade vamos ser compreensivos ,0
Esse asno ainda tem meu nome ta de sacanagem,1
Essa ministra trabalha a menos de  km dos hospitais de BASE e HRAN sera que pretende visitar os,0
da vontade de por um aipim no rbbbbbbb,1
o Brasil ta quebrado e temer esta emprestando  bilhoes ao FMI,0
Da para fazer uma lista com mais de cinquenta itens Se tivessemos um Governo do Povo e para o Povo  tudo seria diferente Temos Governantes que so pensam no enriquecimento proprio,0
Marias tremem pro Galo e borram pros argentinos FATO,0
DEFECA PELOS DEDOS,1
Por que a excelentissima ministra nao visita a familia das vitimas  ,0
BOA GOSTEIKKKKKKKKKKKKKKKK,0
ADRIANO   IMPERADOR    E   WAGNER  LOVE  E  RONALDINHO   E  FABIO  LUCIANO,0
MELHOR DITADURA MILITAR  DO QUE DITADURA DE ESQUERDA,0
voces acham mesmo que alguem votara na direita depois da PEC  jogar o Brasil em grupo da Nigeria ,0
pena qual linha esta na reportagem que devo ter pulado essa,0
Cai na Real vascainos segundo da segunda  Kkkkkkkkk,0
Engracado e que se voce disputar emprego com eles voce perdera,0
Ela foi la para a limpesa semanal na casa onde o mula vai ficar escondido,1
Sivil  Vai estudar seu ignorante,1
Junta todos os pontas do Fla que nao da um Cueva,0
Deveria ser aplicada a etica de Aristoteles no sistema prisional  A justa medida,0
Leio a noticia com tristeza A transmissao em AM e a unica possibilidade de ouvir radio nos lugares mais longinquos deste nosso Brasilsao A transmissao em FM e por demais limitada e baixo alcance devido as frequencias de radio transmissao Se as duas modalidades sao autorizadas e legais nao precisa o Sr Presidente se dar a esse trabalho Mas ao contrario deveria estimular a radio transmissao em AM para os locais onde as populacoes necessitam de acesso as transmissoes de radio ate para inclusao social e inclusao Nacional E uma pena,0
ceis tao tudo e dano buesta cai esse ano,0
Infelizmentehoje em dias e melhor ser arruaceiro e agitador no Brasil do que ser trabalhador honesto,0
Tinha tirar todos auxilios de familias mande suas familias trabalharem para sustentarem,0
Fudinense e a melhor  kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
Reuniao de ex guerrilheiros Sabe la o que fizeram ,0
quebraram o pais e ainda tentam boicotar quem quer trabalhar,0
NAO SABIA QUE O URUGUAI GOSTAVA DE TANTA PORCARIA JUNTO,0
Isso que esta na mao dela nessa foto por acaso e um baseado ,0
Ele so vai igualar o record pessoal quando ficar SETE jogos sem levar gols,0
Vamos lutar muito pelos nossos direitos conquistados com tantas lutas ,0
Podiam retirar dos lucros dos bancos ,0
Essa mina tem cara de cavalo ,1
Pouco conhecimento da leiatodos sao iguais depois de julgados e condenados exceto militares,0
Vou festejar a prisao desse vermebarbudo mais que o Ano Novo,1
Precisavamos de mais Presidentes assim,0
O pais e rico mas com tanta roubalheira atraves dos seculos acaba quebrando de vez E essas medidas e para arrochar mais ainda o trabalhador E nao se enganem nao e so um partido que rouba,0
Por que essa revolta Anderson Sua familia esta presa,0
Melhor do mundo e o Messi aceitem este fato Ronaldetes,0
ja temos umseu abestado,1
Vai procurar uma pra mamar Freddie Mercury E o melhor que saber fazer rubroneca,1
Esperem que esse  grupo do mal  nas proximas eleicoes vao  chegar ao fim,0
PAULO VOCE E BURRO,1
Pelo menos a esquerda uruguaia Nao roubou o mojica ainda ta de fusca,0
Limitar por   ou  anos o salario de politico e a mesma coisa que nada Isso nem faz cocegas para eles pois mesmo que ganhassem o triplo do que ganham nao teriam  por cento do patrimonio e luxo que ostentam,0
Sr presidente o Brasil esta ao seu lado que venham as reformas chega de mimimi e vamos trabalhar,0
Esse mortadela ja bebeu tanta cachaca q nao esta falando coisa com coisa ,1
Vai taxar dinheiro de doacoes Coitados dos mendigos,0
pois e os  nao foram peidods por ele para  montar o elenco entao nao vamos da porrda no cara,0
Eles tem conforto ate demais Sofrimento tem as familias que eles destruiram,0
Esse e meu presidente,0
Se for o Ze Ricardo o Tecnico da Libertadores e entregar mais uma vez ao titulo ao palmeiras,0
Quando ele abusar sua mae  Retardado,1
O Gilmar MendesPSDB vai ficar com ciumesEla esta querendo aparecer mais que ele,0
Entao vamos somar as assistencias para ver quem ganhaOs dois sao otimos mas Messi e melhor,0
Quando ele sera preso ,0
sem mortadela a esquerdinha fica revoltadinha chega a dar do ,1
Ja estamos tendo este cuidado o peso vai pesar sobre o real dela,0
A historia nos ensina A se precaver do futuro A prova A Venezuela ainda estao fazendo vitimas para impor a ideologia genocida,0
Com PaulinhaFernandinha em campo o Messi vai deitar,0
Espero que essa infeliz fique por la e so volte quando for convocada pela receita federal,1
Ela ganhou um Oreo do  Tabare e num milenar ritual esquerdista esta oferecendo ao vento ,0
JOGADOR DE TIME PEQUENO,0
Em compensacao de vez em quando leva ,0
eta Dra Carmem Lucia a senhora esta se saindo uma grande marqueteira,0
Enquanto isso seu time contrata marcelo cirino por  anos e damiao por  ano e meio,0
Esse e o meu presidente que venham as reformas e vamos trabalhar chega de mimimi ,0
Sabe o que e foro privilegiado seu bosta  Burro,1
Tanto coxinhas quanto mortadelas SAO PAMONHAS,1
vOCE E UM BRINCALHAO ,0
foi lindo ver essa incompetente  cair igual Jaca madura ,0
os cariocas tem o que merecem um pessoal que so sabem toma banho de sol e pratica a violencia e nao deu outra de onde se tira e nao coloca um dia acaba,1
marcos voce nasceu assim ou bateu a cabeca quando era crianca ,1
Estamos exportando mortadela Essa fica de graca  ,0
pensem numa MORTADELA maconheira chata ,1
Da  xozota da mae ,1
Esse boca mole tem cara de saco murcho,1
BOICOTARAM um governo eleito por  anos SAO GOLPISTAS e nao querem oposicao ahahahh fazme rir,0
Que otima noticia para a massa atleticana,0
o neymar faria alguma falta na selecao ou a sua ausencia seria melhor  ,0
Mas ele vai preso Aguarde,0
Flamerdas voces tem estadio  Entao nao tem PINICO proprio kkkkkkkkkkkkkkkkkkkk,1
Eu ja havia arranjado um apelido para ele aqui em casa ocuquefala,1
Teve uma hora para responder e nao achou nada Claro  nao existe ditadura eficiente,0
gigante que nao ganha um nacional a  anosta de sacanagem ne,0
E o fim Desisto do meu pais ,0
Nosso alvo e Nacional e nao municipalaonde todos se DOBRARAO,0
Idiota,0
Quem apoia ladrao,0
E tanto deboche tanto escarnio perderam o senso de ridiculo de humilhacao,0
Ja ouviu algum dia falar em antenas nao essas aquelas de longo alcance Nao ne rsrs,0
Vai dar de  pro lulao vai Mas leva viagra,1
Essa velha ta armando plano de fuga pra ela e para o pedecana Ta na cara So a PF nao ve,1
Quem que era mesmo o Homem mais honesto do Brasil,0
So pela metade Voce esta sendo bem otimista,0
onde tu viu isso,0
Faltou choque nesse velho hipocrita,1
Ridicula vergonha para a familia e para o filho,1
Cruz so tem agilidade mesmo poder de nocaute zero o Cody veio muito mais preparado por isso levou essa,0
Nao quer ficar em uma cela superlotada Nao roube Trabalhe honestamente garanto que isso nao vai ser problema,0
Sao paulinos gostam de mamar no cajado,1
Virou bagunca ,0
Jkkkkkkkkkbosta de clubenao tem dinheiro pra contratar pra comprar camisa mas tem Estadiokkkkkkkkkvice eternopiada do Brasil Segunda eu volto,1
GAYZINHOS DE BARBA SAO OS QUE MAIS ENTRISTECEM OS PAIS,1
ahh  esqueci vagabundo nao trabalha,1
Doeu o buraco do coxa,1
Cara que bota preco em ideal nao e idealistaE mercenario,0
UM ES CRO TO DESSES E VERME MESMO,1
Cola velcro perdeu o meu respeito,1
QUera saber pq o povo paga pelo erros dos politicos  Pq nao cortam os proprios salario  as verbas de gabinete e mandam embora aquele monte de auxiliares dos parlamentares que so servira sugar dinheiro publico  Acabem com a roubalheira q o Brasil avanca,0
O Senado um das instituicoes mas caras e inuteis do pais votando o corte de gastos dos outros os deles naoBando de ladravazes do erario,0
deveria haver uma lei obrigando todos politicos a usar so hospitais publicose que todos os hospitais particulares fosse proibidos de atendelos so assim eles olhava para a situacao da saude publica que esta uma VACALHACAO ,0
Um volante da base PELO AMOR DE DEUS para o lugar de Marcio AraujoPELA AMOR,0
Cala boca o idiota ,1
Eu voto em quem ele indicar,0
Anderson Zanin o famoso Corneca    CornoCareca,1
Deixa pra la Esquece E dificil tentar fazer compreender o basico do basico Bjs Tata,0
em  acabara o forro privilegiado dai quero ver ministro do STF livrar a cara deste povo,0
Eternos alienados e analfabetos PeTralhas,1
E as palestras do analfabeto  Quantas foram proferidas apos a Lava Jato,0
Aceita que a boquinha acabou doi menos  Vermelho so o ketchup,0
Assinado Molambo iludido KKKK Sv,1
Superfaturamento de TV e algum Senador ou Deputado coloca um  no bolso,0
Com essas contratacoes as frangas vao tomar no oi,1
Falta pulso,0
Ta fazendo a cama para e para o Moluscovai que,1
Foi recebida com  muito  capim e agua  fresca   ,1
Mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios e regalias dos deputados senadores dos secretarios e do Presidente da Republica diminua o salarios autos dos magistrados ai sim eu comeco a acreditar mais neste governo e no Brasil melhor,0
LIXO DO CRL,1
AVANTE  MEDIDAS o Brasil clama por elas pra cima dos corruptos Cadeia neles,0
Finalmente o Senador entendeu Parabens,0
e os parentes dos que foram mortos por eles,0
Nao tem aquela frase  so nascendo de novo  Para o Brasil so colonizando de novo,0
Outro seu Bertin lexotankkkVixemas vc ainda e mortadela meu filho,0
Roubalheira Entao governo oriundo de roubalheira e ladrao tambem Eleicoes ja,0
So de olhar pra cara desse sujeito ja da vontade de vomitar,1
Dois mundias com uma libertadores ,0
Fizeram pericia nas pecas do carro,0
SRN Sou a R A B U D A do Negao,1
Isso mesmo FM e local e loge de tudo nao chega Acabar com radio no interior despovoado e a meta,0
E quando essa imoralidade vai ter fim Ate quando trabalhadores vao ter que sustentar parasitas,0
ELE VAI JOGAR DE GRACA KKKKK SEU RETARDADODAQUI A SEIS MESES ELE VAI FICAR MAIS RICOE VCS SEM TITULOS SEM VITORIA E O CHEIRINHO DE JOELHO PODRE AUMENTARA CUSTO BENEFICIO ZEROENTENDEU SID NOIAKKKKKKKKTA COM DIARREIA MENTALKKKKK,1
E a roubalheira continua Esses sao profissionais,0
Paulo vai to mar no c uu,1
Porque este robozinho fica buscando o q nao deve pra censurar o q precisa ele nao elimina,0
excelente jogador  sera titular ao lado do Jo,0
E que nao volte de la Damos de presente pros uruguaios,0
ele esta de escarnio estava acreditando nele ate ele falar em beleza e elegancia,0
Inveja matahhhhhhh,0
Futebol argentino e uma piada  So pancadaria e confusao           ,0
Por que nao implantar o imposto sobre grandes fortunas Por que NUNCA se audita a divida que de forma ilogica so aumenta apesar do aumento da arrecadacao,0
Esse nao roubouao menos nesta gestao,0
Ta com cara de quem peida na farofa kkkkkkk,1
Seus baitola vem fazer na mao vou dar um Murro certeiro nessa tua cara feia da porrrra,1
Boca mole e bolso e contas bancarias abarrotadas de dolares Sahfado,0
Nao e verdade O governo tem milhoes de funcionarios publicos sobrando e nao corta Todo mundo sabe disso Estao cortando na nossa carne e nao na carne dos vermes Ja chega fora Temer ,0
e kkkkkkkkkkkkkkkkkkkkkkkkkk Pepe tbm ganhou e fez mais que CR man ,0
David Luiz agora e goleiro pra ter recorde pessoal de menos vazado,0
Vai fazer a denuncia e pede para um juiz pegar o caso blz,0
E tem mulher que se deita com issoate o Todo Feio tem uma filha lindaso nao sei se e dele,1
Indiciam e denunciam mas nao prendem,0
Se o juiz tivesse dado o penalti em cuiaba esse bosta nao estaria falando assim,1
Nao entendi o que ta faltando pra ele ser preso,0
Eles torcem quanto pior melhor,0
Geraldo Gallo vamos protestar Amigo Vamos invadir aquele CT e quebrar tudo,0
Fiquei chocado com essa noticia,0
Ainda bem Murilo Temos de terminar a faxina e limpar o pais da esquerda lha Urgente,0
vc e bi da b sem mundial tanbem kkk,1
Discordo em partes Mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios e regalias dos deputados senadores dos secretarios e do Presidente da Republica  diminua o salarios autos dos magistrados ai sim eu comeco a acreditar mais neste governo e no Brasil melhor,0
seu nome ja disse tudo e um maria mesmo,1
Osvaldo Miranda nao concordo Mas respeito seu comentario,0
Nao a pizza anunciada de anistia do caixa  Sim a divulgacao da lista da Odebrecht,0
Diminua seu salario tbm presidente Coloque um teto no salario de todos os politicos Estabeleca que o aumento dos seus salarios acompanhem o aumento do salario minimo ,0
Pior que acho que nao so a boca que e mole Mais feio que este so o Cervero,1
muito processo pouca gente em cana,0
SENTE O CHEIRINHO PEIDO DE PORCO NAS SUAS CARAS KKKKK,1
Mas o JUIZ e os DOIS BANDEIRINHAS que GARANTIRAM mais um ROUBO estao acertados pra ,0
